# Wiktionary	arn	http://wiktionary.org/	CC BY-SA
00546646-a	arn:lemma	وجيز
00550282-a	arn:lemma	قطعي
00581401-a	arn:lemma	غير مرئيّ
00587890-a	arn:lemma	سلبي
00610532-a	arn:lemma	نووي
00610532-a	arn:lemma	ذري
00617422-a	arn:lemma	مقلي
00631391-a	arn:lemma	صحيح
00631391-a	arn:lemma	صح
00631798-a	arn:lemma	مضبوط
00632438-a	arn:lemma	خطأ
00639842-a	arn:lemma	مهذب
00639842-a	arn:lemma	مؤدب
00641944-a	arn:lemma	غير مهذب
00642379-a	arn:lemma	مؤدب
00642379-a	arn:lemma	مهذب
00645493-a	arn:lemma	لا يصدق
00664449-a	arn:lemma	فضولي
00666610-a	arn:lemma	حاضر
00666610-a	arn:lemma	راهن
00669021-a	arn:lemma	عفا عليها الزمن
00681930-a	arn:lemma	أصم
00682662-a	arn:lemma	أصم للطبقات الصوتية
00690058-a	arn:lemma	عميق
00691696-a	arn:lemma	ضحل
00703109-a	arn:lemma	قانط
00703109-a	arn:lemma	أسوان
00703109-a	arn:lemma	بائس
00703109-a	arn:lemma	حزين
00711308-a	arn:lemma	صارم
00713558-a	arn:lemma	مستعجل
00716370-a	arn:lemma	شعبي
00727564-a	arn:lemma	مستقل
00727564-a	arn:lemma	حر
00744916-a	arn:lemma	صعب
00749230-a	arn:lemma	سهل
00754682-a	arn:lemma	مجتهد
00758459-a	arn:lemma	دبلوماسي
00760916-a	arn:lemma	مستقيم
00787357-a	arn:lemma	متسلط
00797299-a	arn:lemma	سكران
00800464-a	arn:lemma	كليل
00812952-a	arn:lemma	باكر
00820458-a	arn:lemma	متوسط
00820458-a	arn:lemma	اوسط
00823832-a	arn:lemma	شرقي
00824631-a	arn:lemma	غربي
00836544-a	arn:lemma	شاق
00842041-a	arn:lemma	مشدد
00847399-a	arn:lemma	اختياري
00861216-a	arn:lemma	افتراضي
00865765-a	arn:lemma	مسحور
00873603-a	arn:lemma	نشيط
00874920-a	arn:lemma	‏لا يتعب
00886253-a	arn:lemma	متحمس
00886253-a	arn:lemma	حماسي
00889831-a	arn:lemma	عدل
00895442-a	arn:lemma	غامض
00900071-a	arn:lemma	غامض
00910101-a	arn:lemma	مسطح
00919542-a	arn:lemma	متهيج
00933154-a	arn:lemma	غالي
00954233-a	arn:lemma	أعور
00954233-a	arn:lemma	عوراء
00958151-a	arn:lemma	عدل
00958151-a	arn:lemma	حقاني
00966753-a	arn:lemma	أجنبي
00975487-a	arn:lemma	أنيق
00976508-a	arn:lemma	سريع
00979697-a	arn:lemma	سريع
00980527-a	arn:lemma	بطيء
00986766-a	arn:lemma	سمين
00990855-a	arn:lemma	نحيف
00991838-a	arn:lemma	سمين
00991838-a	arn:lemma	بدين
01010862-a	arn:lemma	أول
01010862-a	arn:lemma	أولى
01012503-a	arn:lemma	أصلي
01016436-a	arn:lemma	ثان
01016436-a	arn:lemma	ثانية
01034457-a	arn:lemma	غريب
01034457-a	arn:lemma	أجنبي
01041916-a	arn:lemma	رسمي
01045963-a	arn:lemma	عامي
01045963-a	arn:lemma	دارج
01048406-a	arn:lemma	محظوظ
01049210-a	arn:lemma	محظوظ
01050890-a	arn:lemma	مسكين
01052248-a	arn:lemma	ريا
01053144-a	arn:lemma	نتن
01053144-a	arn:lemma	منتن
01053634-a	arn:lemma	منتن
01061489-a	arn:lemma	حر
01073822-a	arn:lemma	مالح
01083157-a	arn:lemma	ممتلئ
01083157-a	arn:lemma	مليء
01086545-a	arn:lemma	فارغ
01087093-a	arn:lemma	خال
01087093-a	arn:lemma	الخالي
01087093-a	arn:lemma	فارغ
01090820-a	arn:lemma	نافع
01101391-a	arn:lemma	عام
01101391-a	arn:lemma	شائع
01102164-a	arn:lemma	إجمالي
01102164-a	arn:lemma	جامع
01102164-a	arn:lemma	شامل
01102164-a	arn:lemma	شمولي
01102164-a	arn:lemma	عام
01102164-a	arn:lemma	عمومي
01102164-a	arn:lemma	عميم
01102164-a	arn:lemma	كلي
01102164-a	arn:lemma	محيط
01102164-a	arn:lemma	مطلق
01106405-a	arn:lemma	محلي
01111016-a	arn:lemma	كريم
01112573-a	arn:lemma	بخيل
01117477-a	arn:lemma	زائف
01117477-a	arn:lemma	كاذب
01117477-a	arn:lemma	مزور
01123148-a	arn:lemma	حسن
01123148-a	arn:lemma	جيد
01123148-a	arn:lemma	طيب
01128406-a	arn:lemma	شرير
01128406-a	arn:lemma	مؤذ
01131043-a	arn:lemma	شرير
01131803-a	arn:lemma	سيئ
01146493-a	arn:lemma	شاكر
01146493-a	arn:lemma	شكور
01148283-a	arn:lemma	سعيد
01148283-a	arn:lemma	فرح
01150915-a	arn:lemma	صلب
01152746-a	arn:lemma	ناعم
01170243-a	arn:lemma	صحي
01175007-a	arn:lemma	قرمزي
01184932-a	arn:lemma	ثقيل
01186408-a	arn:lemma	خفيف
01201937-a	arn:lemma	مثلي
01201937-a	arn:lemma	مثلية
01210854-a	arn:lemma	طويل
01212469-a	arn:lemma	منخفض
01222360-a	arn:lemma	نزيه
01232635-a	arn:lemma	أفقي
01233347-a	arn:lemma	عمودي
01233347-a	arn:lemma	رأسي
01247240-a	arn:lemma	حار
01247240-a	arn:lemma	ساخن
01250835-a	arn:lemma	مداري
01251128-a	arn:lemma	بارد
01263013-a	arn:lemma	قاسي
01269073-a	arn:lemma	جائع
01269073-a	arn:lemma	جوعان
01270004-a	arn:lemma	عطشان
01270004-a	arn:lemma	ظامئ
01276150-a	arn:lemma	حاسم
01277426-a	arn:lemma	رَئِيسِيّ
01285376-a	arn:lemma	عظيم
01285376-a	arn:lemma	رائع
01313004-a	arn:lemma	مهجورة
01313649-a	arn:lemma	وحيد
01318741-a	arn:lemma	جريح
01318741-a	arn:lemma	مجروح
01320988-a	arn:lemma	مذنب
01334398-a	arn:lemma	ذكي
01334958-a	arn:lemma	ذكي
01343918-a	arn:lemma	مشوق
01344485-a	arn:lemma	ممتع
01345307-a	arn:lemma	ممل
01345307-a	arn:lemma	مضجر
01361863-a	arn:lemma	حزين
01361863-a	arn:lemma	مؤسف
01363613-a	arn:lemma	سعيد
01367651-a	arn:lemma	مرح
01367651-a	arn:lemma	فرح
01372049-a	arn:lemma	حنون
01372049-a	arn:lemma	لطيف
01373545-a	arn:lemma	رقيق
01373545-a	arn:lemma	شفوق
01373545-a	arn:lemma	رقيق القلب
01375174-a	arn:lemma	معلوم
01376894-a	arn:lemma	مجهول
01382086-a	arn:lemma	كبير
01383756-a	arn:lemma	أكبر
01391351-a	arn:lemma	صغير
01391351-a	arn:lemma	pichi
01392249-a	arn:lemma	ضئيل
01392249-a	arn:lemma	دقيق
01394922-a	arn:lemma	أصغر
01400562-a	arn:lemma	قانوني
01405523-a	arn:lemma	صعب فك تشفيره
01409581-a	arn:lemma	مثل
01410363-a	arn:lemma	مختلف
01410606-a	arn:lemma	مماثل
01415219-a	arn:lemma	متواضع
01433493-a	arn:lemma	طويل
01436003-a	arn:lemma	قصير
01437963-a	arn:lemma	طويل
01452593-a	arn:lemma	عال
01452593-a	arn:lemma	عالي
01462324-a	arn:lemma	عزيز
01462882-a	arn:lemma	مفضل
01463965-a	arn:lemma	أحب
01468097-a	arn:lemma	محظوظ
01470496-a	arn:lemma	جغرافي
01476685-a	arn:lemma	ذكوري
01479181-a	arn:lemma	خنثوي
01481612-a	arn:lemma	متزوج
01481612-a	arn:lemma	متأهل
01482228-a	arn:lemma	أعزب
01482228-a	arn:lemma	غير متزوج
01486197-a	arn:lemma	مؤنث
01486327-a	arn:lemma	محايد
01488616-a	arn:lemma	كبير
01493173-a	arn:lemma	ناضج
01493173-a	arn:lemma	راشد
01493173-a	arn:lemma	معتق
01507134-a	arn:lemma	رحيم
01507134-a	arn:lemma	رحمـن
01511520-a	arn:lemma	شديد
01511854-a	arn:lemma	عنيف
01513512-a	arn:lemma	قوي
01535709-a	arn:lemma	عصري
01535709-a	arn:lemma	حديث
01535709-a	arn:lemma	معاصر
01536094-a	arn:lemma	عصري
01536094-a	arn:lemma	حديث
01536094-a	arn:lemma	معاصر
01539225-a	arn:lemma	حيي
01539225-a	arn:lemma	خجول
01545427-a	arn:lemma	أحادي اللغة
01545571-a	arn:lemma	متعدد اللغات
01545777-a	arn:lemma	ثنائي اللغة
01552419-a	arn:lemma	عديد
01554230-a	arn:lemma	مثل
01554230-a	arn:lemma	هكذا
01567862-a	arn:lemma	وطني
01568375-a	arn:lemma	دولي
01568684-a	arn:lemma	عالمي الانتشار
01568684-a	arn:lemma	عالمي
01569965-a	arn:lemma	فطري
01570747-a	arn:lemma	عنيف
01580050-a	arn:lemma	ضروري
01580050-a	arn:lemma	لازم
01581115-a	arn:lemma	غير ضروري
01588172-a	arn:lemma	كريم
01593649-a	arn:lemma	عادي
01601069-a	arn:lemma	شمالي
01603179-a	arn:lemma	جنوبي
01612053-a	arn:lemma	مطيع
01612053-a	arn:lemma	مذعن
01613839-a	arn:lemma	متعنت
01615180-a	arn:lemma	حقاني
01615180-a	arn:lemma	عقلاني
01615180-a	arn:lemma	متجرد
01618053-a	arn:lemma	واضح
01624010-a	arn:lemma	شاغر
01626874-a	arn:lemma	مزعج، هجوم، بغيض، أو ذميم
01633153-a	arn:lemma	رسمي
01634736-a	arn:lemma	مسؤول
01637371-a	arn:lemma	ساذج
01638438-a	arn:lemma	قديم
01638962-a	arn:lemma	عتيق
01638962-a	arn:lemma	قديم
01640482-a	arn:lemma	مستعمل
01640850-a	arn:lemma	جديد
01643620-a	arn:lemma	كبير السن
01643620-a	arn:lemma	مسن
01646941-a	arn:lemma	صغير
01646941-a	arn:lemma	حدث
01646941-a	arn:lemma	شاب
01646941-a	arn:lemma	صغير السن
01652782-a	arn:lemma	مقفول
01663571-a	arn:lemma	متفائل
01664581-a	arn:lemma	متشائم
